Date,Close,High,Low,Open,Volume
2025-05-05,476.5028076171875,480.3240325581568,472.4539133782371,475.74055654800463,805200
2025-05-06,470.52349853515625,476.92847999545035,470.2364346188333,473.245862629841,887700
2025-05-07,467.65264892578125,472.61231100941785,464.54421980775913,470.3156184084102,1011200
2025-05-08,485.06585693359375,489.22366129886393,471.7213429479209,473.1072676660466,1568800
2025-05-09,487.649658203125,488.96627917215477,484.20461933386156,485.78854629251924,653500
2025-05-12,490.6393127441406,508.83460965060385,488.99599111879434,502.6375092118864,1597200
2025-05-13,493.5596618652344,496.6186054945938,488.0159326430771,491.0352697906722,1500100
2025-05-14,492.5003967285156,495.98501177517574,491.0748655251335,493.7576230462528,1601200
2025-05-15,511.1313171386719,526.198336742689,503.09292284727763,512.1509348694501,3211700
2025-05-16,526.138916015625,528.4158506917822,510.616498139617,510.616498139617,2322000
2025-05-19,524.5054931640625,527.1189165776127,516.308673977365,520.7238749830376,1273000
2025-05-20,521.0407104492188,524.4263245456457,518.5460156298574,522.3870287490881,1250500
2025-05-21,509.4879150390625,517.7540382477274,508.92369640607944,514.3486059952581,1060100
2025-05-22,510.4679870605469,513.9426624766181,506.2111818876923,507.6664102956838,949200
2025-05-23,504.9342041015625,511.5767944252194,503.57797660395204,505.8152746428686,850800
2025-05-27,504.50848388671875,509.7651186846332,500.7169565104968,507.63670091671247,1103500
2025-05-28,502.8849792480469,506.57750574170706,500.76650074270896,505.24106643305464,739800
2025-05-29,498.390625,505.3697644124253,497.03436734616946,505.3697644124253,994200
2025-05-30,501.1723937988281,508.68608491730754,498.05402528133186,500.1032302468596,1686500
2025-06-02,502.7364807128906,504.16201191332976,495.98501075121277,501.0733710493427,993700
2025-06-03,507.9931640625,509.4978478565931,500.9347813857032,501.50896963994035,1107700
2025-06-04,502.6770935058594,511.53713287999864,502.3504231142701,509.27016785233957,992700
2025-06-05,505.61724853515625,509.72556752799426,501.95441937868907,504.9737867133157,1126000
2025-06-06,514.764404296875,520.7140170873556,512.8142306117635,514.4080365810865,1473800
2025-06-09,516.4373779296875,520.3179670342585,512.3983629063594,514.7742683134428,1101000
2025-06-10,510.63629150390625,515.3781328081164,503.8452151335899,514.7049736958672,1294000
2025-06-11,515.6058959960938,516.3681168696604,507.4783798354863,513.0023210898722,1037000
2025-06-12,511.66583251953125,514.883171843173,509.824538977076,513.2893659409979,797000
2025-06-13,504.4689025878906,511.21049370009376,502.62760904626833,507.84463762509176,824500
2025-06-16,519.169677734375,521.1495788682225,507.6961240781419,510.10175712693973,1278800
2025-06-17,517.8629760742188,519.7141789448222,514.6753640028841,517.635306761064,862500
2025-06-18,519.7042236328125,526.0399313608891,516.1008495289834,516.7541903104564,959700
2025-06-20,516.1404418945312,524.6738111209055,513.7249600453295,523.1393997953813,1389700
2025-06-23,508.91375732421875,517.6648856907716,500.5783610283542,513.2497452403197,1261400
2025-06-24,508.93353271484375,513.3883100071527,502.7760695488198,513.3883100071527,1215600
2025-06-25,501.6475524902344,508.8346034437155,497.87584315784414,507.95353291706806,1189200
2025-06-26,503.4195556640625,504.31050512339846,498.29161902818146,504.08283583020545,1199400
2025-06-27,508.1812438964844,509.20086154761583,501.9940227240585,503.43934207362236,1835500
2025-06-30,504.9735412597656,508.82671407222534,500.97141182961485,508.45927764640925,1408600
2025-07-01,504.8444519042969,511.25979997662785,491.5073335494864,501.1899080004689,1375200
2025-07-02,516.7117919921875,516.9799442024463,503.8811572680037,505.36084346982045,1096800
2025-07-03,517.3672485351562,519.9592453748653,515.8379200908773,516.4039855794082,470300
2025-07-07,506.7611389160156,515.8677378513243,503.4541502922898,515.4108971237263,1017000
2025-07-08,505.3906555175781,511.170384491737,503.8315055204381,503.8612968442959,1285000
2025-07-09,505.8077697753906,508.52884220823677,496.05570196324305,507.44638362290556,1152400
2025-07-10,515.6095581054688,525.3218943827252,506.96970959985885,508.17133353051366,1268800
2025-07-11,508.866455078125,512.312490171532,506.13550272466966,510.6441153109964,1046900
2025-07-14,504.0996398925781,509.23393071874426,498.6575558898334,508.95583794715253,1087100
2025-07-15,499.9883117675781,508.0819453094761,499.6307855471783,504.1393981800704,1173100
2025-07-16,504.2188415527344,505.15234347660504,495.65842706931033,499.52154060842935,1150600
2025-07-17,495.6882629394531,509.3928183285865,488.6572069835043,502.3021797210225,1778500
2025-07-18,496.363525390625,499.7201560074183,493.4637051794704,498.89587886202173,1064500
2025-07-21,492.8082580566406,502.74904391188323,492.5997187909217,501.27926789537844,1111000
2025-07-22,502.19293212890625,504.6756435217773,492.74868829233344,493.6623394197856,975800
2025-07-23,511.6073303222656,512.2329784129502,502.4014478199295,506.3439945390272,995100
2025-07-24,511.1008605957031,513.9212473475155,507.873366160442,509.1842147149126,850000
2025-07-25,513.8021240234375,515.4109162540284,505.25164971115333,511.11084289049853,858400
2025-07-28,507.0193176269531,512.9381235144643,505.52969076450216,512.8487192329655,824700
2025-07-29,508.9558410644531,511.23992344807925,502.4610595043567,508.1415044451814,1139100
2025-07-30,504.3578796386719,509.17431578638787,501.2495199380959,506.9101143781936,1121000
2025-07-31,520.7437744140625,522.918632144164,508.4593225827403,508.4593225827403,1549300
2025-08-01,497.5155334472656,516.5727990250372,496.54229962963825,515.4109070155645,1623100
2025-08-04,507.0292663574219,508.6281180017974,489.87870638117175,498.0319223874674,1087400
2025-08-05,505.06292724609375,508.56851449631773,500.5146133406908,507.4860559732977,1027900
2025-08-06,506.1156311035156,510.47528688109486,503.8712502936248,506.3142298321428,966700
2025-08-07,503.1363525390625,510.4950821154046,498.1609894276217,509.66092506726307,958500
2025-08-08,506.840576171875,512.709740028462,503.8215905394578,505.24172453282665,883700
2025-08-11,503.4740295410156,511.72652964127303,498.8958938836182,508.92602386177026,1098000
2025-08-12,502.3518371582031,509.92904699036256,498.3000351299543,505.66873599421433,1285800
2025-08-13,509.9886169433594,510.97182156082806,497.0884583633317,503.553448468702,1853600
2025-08-14,475.52862548828125,482.0035261598665,467.2463035739358,481.64603025155975,5100700
2025-08-15,485.41973876953125,488.98493914162157,470.70224807864156,472.85722468193177,2674700
2025-08-18,487.7336120605469,488.84586188964533,476.6805763474449,482.98666920001494,1391600
2025-08-19,486.0552978515625,495.7478126235502,483.6818112627646,487.9421524091493,1493700
2025-08-20,489.3126220703125,492.85794119739467,484.0393455194411,486.0056638443476,1438800
2025-08-21,483.39385986328125,489.8489096333399,481.26864431492453,487.8031578230442,844800
2025-08-22,492.55999755859375,495.6485062766572,485.9162594770068,486.96892667826694,1133400
2025-08-25,484.52593994140625,492.92742664553947,484.28760935042044,492.81820189351595,729600
2025-08-26,484.3869323730469,486.98880905878957,476.6905270697606,484.6352035118626,1502800
2025-08-27,489.67010498046875,490.2461109774849,482.1028057377585,482.7383943818405,912400
2025-08-28,488.0414733886719,491.57685196006383,486.22411169158397,491.57685196006383,1120400
2025-08-29,475.33001708984375,484.41673491969846,471.3377976890189,481.4672725099779,1535100
2025-09-02,473.48284912109375,478.5575269158196,467.59386503076945,469.6495573166917,1600700
2025-09-03,466.2730407714844,474.535511390582,463.5321480585747,471.92369420995686,1515400
2025-09-04,471.6158752441406,471.6158752441406,463.7307810159426,466.82920015020477,1486800
2025-09-05,469.9872131347656,475.0817418261605,466.98807833821337,472.0528157047799,1262400
2025-09-08,478.1801452636719,478.4085353110734,467.7924591825859,470.5929648514003,1271500
2025-09-09,472.31103515625,480.03723202295964,466.55112637360935,476.60116784127825,1204300
2025-09-10,468.0904235839844,476.17411631855936,467.96131773933456,470.3844465428865,1347400
2025-09-11,473.1650695800781,475.31013590548764,467.8322102449029,468.23937855869485,1368700
2025-09-12,467.2562255859375,471.08951743680916,466.05457144875766,470.68234913080636,1764500
2025-09-15,465.86590576171875,469.7786615405017,459.62933563774857,468.99414652114103,1787700
2025-09-16,465.458740234375,472.21170304489505,463.65131908164415,468.71605634280183,1659200
2025-09-17,465.8758239746094,471.96343717693145,461.1189404460072,468.3188035065706,1522500
2025-09-18,472.8274230957031,474.8235327899489,462.77741204371375,464.01876776271513,1785000
2025-09-19,466.3822937011719,474.4262844732133,465.6175992152037,472.70823732217303,2754900
2025-09-22,465.7864685058594,468.9345600212495,461.5360676321273,464.7040099291548,1678800
2025-09-23,468.4082336425781,471.6158775525063,464.992020142815,468.09043929224265,997200
2025-09-24,465.69708251953125,473.9198215793444,465.0614938450838,467.99110546076827,976900
2025-09-25,463.4725646972656,467.4846043987409,460.80116487307316,466.0744413304261,1343700
2025-09-26,460.7812805175781,467.7626635382014,460.115930855378,463.8300572925627,1106200
2025-09-29,462.27093505859375,465.99500226269606,460.04643528010166,462.608580181648,1055900
2025-09-30,455.6837158203125,462.05167201721525,452.11603997864773,461.4039188184119,1954800
2025-10-01,450.17279052734375,455.25518528816536,445.89757065909356,453.4315071135282,2141700
2025-10-02,460.2279968261719,460.7461933060524,451.78719384428035,452.9531435271057,1511900
2025-10-03,461.28436279296875,463.1578869142696,457.91600947859297,459.4108386716678,989400
2025-10-06,455.7335510253906,463.8654253888782,454.5576260397383,463.10803554139756,1150200
2025-10-07,459.9190673828125,464.3736593724204,456.919433886407,458.1751000779025,1237600
2025-10-08,459.16168212890625,465.02141719763847,454.01946626067956,460.7860679864657,915300
2025-10-09,454.6473083496094,461.0053199218044,453.44148800699975,460.2977759668292,992700
2025-10-10,444.81134033203125,459.0321375828387,440.3667234397384,455.2950646503063,1581100
2025-10-13,437.5962829589844,448.44875748813865,435.95197693067007,447.8209243616748,1758500
2025-10-14,446.40582275390625,448.27931640364153,431.50734676865216,434.57671590001803,1258400
2025-10-15,446.9140319824219,450.8005815747934,444.7714496800457,447.8906646132746,1019900
2025-10-16,455.5840759277344,456.16206316296814,444.0140822518262,448.7975538786726,1574500
2025-10-17,456.91943359375,464.1045703699115,453.0428288176639,460.9255646802932,1136300
2025-10-20,460.8458557128906,462.29086936399256,454.3184473714331,456.03248890395207,813800
2025-10-21,458.2348937988281,465.1708924384212,457.1685750550427,459.5204249522081,953900
2025-10-22,460.76611328125,470.59213917633457,458.54382012043993,458.54382012043993,1293400
2025-10-23,467.80181884765625,468.36983081821637,459.1218222466189,463.9551093067074,1161800
2025-10-24,471.13031005859375,475.9536219467616,468.92790648023265,471.81793392153867,1187200
2025-10-27,476.4518737792969,481.33497615052255,472.52545352843293,478.9033850181385,1273100
2025-10-28,466.5760498046875,474.8574009966334,466.26712087501465,473.811032739661,1064700
2025-10-29,471.8577575683594,476.2426140512554,467.41314076510764,470.2134515934618,1134800
2025-10-30,463.8056335449219,478.15598751163805,463.6162860835048,470.5124447108124,1035000
2025-10-31,460.0386657714844,462.93863801754054,457.1386935254282,461.97198060218847,1116400
2025-11-03,460.34759521484375,462.2011687940993,452.9332400730667,458.2149576603429,957500
2025-11-04,466.6856384277344,468.0509412350998,454.4280518263171,455.71361338313324,1576900
2025-11-05,472.05706787109375,474.6481110667423,464.7921899113848,466.38668037119743,891600
2025-11-06,473.74127197265625,479.620927373477,467.9014567866747,473.50210903411016,1258600
2025-11-07,466.17742919921875,469.6254932709521,456.072369504689,462.3207748419448,1912500
2025-11-10,472.7546691894531,474.90719634615925,462.08156744120674,467.28357396339476,922900
2025-11-11,476.3023986816406,478.56456247404276,470.3828729179483,472.92407026365277,1179100
2025-11-12,479.1226501464844,483.2583381510265,476.12301651044567,477.34878739312614,1068200
2025-11-13,471.7780456542969,481.12571540696126,471.25984916766976,479.66078163359776,1005300
2025-11-14,474.5883483886719,477.9965419157596,469.37636632371266,471.6584807391387,1180100
2025-11-17,474.3392028808594,478.1061711704454,471.47907085762307,473.63162851058325,1318400
2025-11-18,472.2165222167969,475.47523873011045,468.3797880830034,469.8447218281836,1117500
2025-11-19,473.1333312988281,474.75771712372114,466.54613231491936,472.72474102777596,1202100
2025-11-20,474.6879577636719,482.5407982953115,472.0769944260953,476.3522142366976,1543200
2025-11-21,485.56036376953125,489.34728255735996,474.86737197068476,475.9934814710479,1835800
2025-11-24,485.5504150390625,492.6059952396242,482.4312000160648,486.9356075691167,2182900
2025-11-25,496.412841796875,498.794587129659,486.53700008506627,488.37065355310625,2188500
2025-11-26,468.250244140625,486.1383784876018,467.79183838290214,475.4852269668201,5473600
2025-11-28,462.8887939453125,472.0371716363365,461.41391528560956,465.300465069442,1682600
2025-12-01,466.4963073730469,472.8642942368969,459.8194219926815,462.12145648210907,1824400
2025-12-02,467.53271484375,472.13678366567166,464.8220901573214,470.093862700709,1303600
2025-12-03,480.1590576171875,480.7868907213075,466.9447583015244,469.3763494663572,1157700
2025-12-04,481.3648681640625,481.8332491677527,473.5718184483563,479.3318920616226,1379800
2025-12-05,473.47216796875,483.76657502707235,472.0570800782003,479.73054850751817,1224900
2025-12-08,464.7424011230469,487.3043405433452,463.3173379279508,477.3687079801051,1896600
2025-12-09,461.264404296875,467.70215714063994,460.20806078502545,463.287435632403,1173700
2025-12-10,467.2835998535156,468.3499186439589,454.3383887684398,461.0551448799606,1677800
2025-12-11,474.29931640625,479.0827574225233,468.50934738446716,470.25331469012167,1186500
2025-12-12,483.1287536621094,485.49060918996173,475.9535922190341,476.57145004862485,1852100
2025-12-15,486.3277282714844,487.3043305246769,483.1287719746387,483.1287719746387,1473200
2025-12-16,483.7665710449219,487.46377324458143,482.54080020978074,485.3211909072404,1632200
2025-12-17,479.3418884277344,488.7294290212163,478.03640671552637,483.2782840839318,1641500
2025-12-18,473.4123840332031,485.45075859718077,468.1605618525898,481.374861393176,1927500
2025-12-19,468.9478454589844,474.85739610099796,467.30353946681834,473.46222830195944,2990700
2025-12-22,467.1540222167969,471.1103378554308,466.03788800146845,469.87462217594236,1173200
2025-12-23,464.60284423828125,469.55571257085296,463.80561421150907,468.7684578034377,1083700
